train_accuracy_0,test_accuracy_0,train_accuracy_1,test_accuracy_1,train_accuracy_2,test_accuracy_2,train_accuracy_3,test_accuracy_3,train_accuracy_4,test_accuracy_4,train_accuracy_5,test_accuracy_5,train_accuracy_6,test_accuracy_6,train_accuracy_7,test_accuracy_7,train_accuracy_8,test_accuracy_8,train_accuracy_9,test_accuracy_9
0.9983333333333334,0.47800000000000004,1.0,0.497,1.0,0.5129999999999999,1.0,0.476,1.0,0.491,0.9983333333333334,0.525,1.0,0.5010000000000001,1.0,0.483,1.0,0.505,1.0,0.519
0.9983333333333334,0.4779999999999999,1.0,0.49799999999999994,1.0,0.5130000000000001,1.0,0.476,1.0,0.492,0.9983333333333334,0.524,1.0,0.5,1.0,0.48200000000000004,1.0,0.506,1.0,0.519
0.9983333333333334,0.477,1.0,0.497,1.0,0.5120000000000001,1.0,0.476,1.0,0.491,0.9983333333333334,0.524,1.0,0.5,1.0,0.48,1.0,0.506,1.0,0.519
0.9983333333333334,0.4790000000000001,1.0,0.49799999999999994,1.0,0.511,1.0,0.477,1.0,0.492,0.9983333333333334,0.524,1.0,0.5010000000000001,1.0,0.48100000000000004,1.0,0.506,1.0,0.52
0.9983333333333334,0.4779999999999999,1.0,0.499,1.0,0.511,1.0,0.4779999999999999,1.0,0.491,0.9983333333333334,0.525,1.0,0.502,1.0,0.483,1.0,0.5039999999999999,1.0,0.52
0.9983333333333334,0.477,1.0,0.5,1.0,0.51,1.0,0.47800000000000004,1.0,0.49099999999999994,0.9983333333333334,0.524,1.0,0.5050000000000001,1.0,0.48100000000000004,1.0,0.5039999999999999,1.0,0.52
0.9983333333333334,0.475,1.0,0.499,1.0,0.511,1.0,0.47800000000000004,0.9983333333333334,0.489,0.9983333333333334,0.5229999999999999,1.0,0.503,1.0,0.483,1.0,0.504,1.0,0.521
0.9983333333333334,0.47400000000000003,1.0,0.5,1.0,0.51,1.0,0.47400000000000003,0.9983333333333334,0.48999999999999994,0.9983333333333334,0.5219999999999999,1.0,0.506,1.0,0.48200000000000004,1.0,0.506,1.0,0.521
0.9983333333333334,0.47400000000000003,1.0,0.501,1.0,0.509,1.0,0.47400000000000003,0.9983333333333334,0.492,0.9983333333333334,0.5219999999999999,1.0,0.5050000000000001,1.0,0.48200000000000004,1.0,0.5090000000000001,1.0,0.5229999999999999
0.9983333333333334,0.475,1.0,0.503,1.0,0.508,1.0,0.47300000000000003,0.9983333333333334,0.492,0.9983333333333334,0.5229999999999999,1.0,0.506,1.0,0.479,1.0,0.508,1.0,0.5210000000000001
0.9983333333333334,0.475,1.0,0.504,1.0,0.5069999999999999,1.0,0.4720000000000001,0.9983333333333334,0.492,0.9983333333333334,0.524,1.0,0.506,1.0,0.479,1.0,0.508,1.0,0.5210000000000001
0.9983333333333334,0.475,1.0,0.504,1.0,0.5109999999999999,1.0,0.4720000000000001,0.9983333333333334,0.492,0.9983333333333334,0.523,1.0,0.5050000000000001,1.0,0.47800000000000004,1.0,0.508,1.0,0.52
0.9983333333333334,0.47400000000000003,1.0,0.502,1.0,0.5119999999999999,1.0,0.47400000000000003,0.9983333333333334,0.493,0.9983333333333334,0.522,1.0,0.506,1.0,0.47700000000000004,1.0,0.506,1.0,0.521
0.9983333333333334,0.472,1.0,0.501,1.0,0.508,1.0,0.476,0.9983333333333334,0.49000000000000005,0.9983333333333334,0.526,1.0,0.509,1.0,0.476,1.0,0.507,1.0,0.5200000000000001
0.9983333333333334,0.471,1.0,0.501,1.0,0.5109999999999999,1.0,0.475,0.9983333333333334,0.489,0.9983333333333334,0.525,1.0,0.508,1.0,0.4750000000000001,1.0,0.506,1.0,0.519
0.9983333333333334,0.471,1.0,0.5029999999999999,1.0,0.512,1.0,0.475,0.9983333333333334,0.49000000000000005,0.9983333333333334,0.527,1.0,0.506,1.0,0.473,1.0,0.504,1.0,0.518
0.9983333333333334,0.47000000000000003,1.0,0.5039999999999999,1.0,0.513,1.0,0.475,0.9983333333333334,0.493,0.9983333333333334,0.529,1.0,0.5029999999999999,1.0,0.471,1.0,0.505,1.0,0.5189999999999999
0.9983333333333334,0.47000000000000003,1.0,0.5049999999999999,1.0,0.512,1.0,0.475,0.9983333333333334,0.492,0.9983333333333334,0.529,1.0,0.5029999999999999,1.0,0.46900000000000003,1.0,0.505,1.0,0.518
0.9983333333333334,0.4720000000000001,1.0,0.5039999999999999,1.0,0.511,1.0,0.47700000000000004,0.9983333333333334,0.493,0.9983333333333334,0.528,1.0,0.5029999999999999,1.0,0.46799999999999997,1.0,0.504,1.0,0.516
0.9983333333333334,0.47400000000000003,1.0,0.504,1.0,0.5090000000000001,1.0,0.47700000000000004,0.9983333333333334,0.493,0.9983333333333334,0.527,1.0,0.504,1.0,0.469,1.0,0.507,1.0,0.513
0.9983333333333334,0.475,1.0,0.505,1.0,0.5090000000000001,1.0,0.479,0.9983333333333334,0.49399999999999994,0.9983333333333334,0.528,1.0,0.506,1.0,0.46799999999999997,1.0,0.5069999999999999,1.0,0.51
0.9983333333333334,0.476,1.0,0.506,1.0,0.5090000000000001,1.0,0.47800000000000004,0.9983333333333334,0.492,0.9983333333333334,0.529,1.0,0.507,1.0,0.47400000000000003,1.0,0.506,1.0,0.51
0.9983333333333334,0.47800000000000004,1.0,0.507,1.0,0.5090000000000001,1.0,0.477,0.9983333333333334,0.492,0.9983333333333334,0.5309999999999999,1.0,0.508,1.0,0.47400000000000003,1.0,0.504,1.0,0.512
0.9983333333333334,0.4779999999999999,1.0,0.5080000000000001,1.0,0.511,1.0,0.476,0.9983333333333334,0.491,0.9983333333333334,0.5309999999999999,1.0,0.507,1.0,0.4739999999999999,1.0,0.503,1.0,0.511
0.9983333333333334,0.4779999999999999,1.0,0.5080000000000001,1.0,0.513,1.0,0.476,0.9983333333333334,0.493,0.9983333333333334,0.533,1.0,0.507,1.0,0.473,1.0,0.501,1.0,0.5090000000000001
0.9983333333333334,0.48,1.0,0.5080000000000001,1.0,0.513,1.0,0.47400000000000003,0.9983333333333334,0.493,0.9983333333333334,0.5319999999999999,1.0,0.506,1.0,0.47400000000000003,1.0,0.5,1.0,0.5090000000000001
0.9983333333333334,0.47800000000000004,1.0,0.508,1.0,0.514,1.0,0.47400000000000003,0.9983333333333334,0.49399999999999994,0.9983333333333334,0.5319999999999999,1.0,0.505,1.0,0.475,1.0,0.5,1.0,0.51
0.9983333333333334,0.47800000000000004,1.0,0.51,1.0,0.516,1.0,0.47300000000000003,0.9983333333333334,0.49499999999999994,0.9983333333333334,0.533,1.0,0.506,1.0,0.475,1.0,0.502,1.0,0.5090000000000001
0.9983333333333334,0.477,1.0,0.5109999999999999,1.0,0.5159999999999999,1.0,0.47400000000000003,0.9983333333333334,0.496,0.9983333333333334,0.532,1.0,0.505,1.0,0.475,1.0,0.501,1.0,0.511
0.9983333333333334,0.4779999999999999,1.0,0.512,1.0,0.5159999999999999,1.0,0.47300000000000003,0.9983333333333334,0.497,0.9983333333333334,0.5290000000000001,1.0,0.502,1.0,0.475,1.0,0.5,1.0,0.512
0.9983333333333334,0.479,1.0,0.512,1.0,0.513,1.0,0.475,0.9983333333333334,0.49700000000000005,0.9983333333333334,0.53,1.0,0.501,1.0,0.475,1.0,0.49799999999999994,1.0,0.516
0.9983333333333334,0.479,1.0,0.511,1.0,0.512,1.0,0.475,0.9983333333333334,0.49800000000000005,0.9983333333333334,0.532,1.0,0.501,1.0,0.472,1.0,0.496,1.0,0.515
0.9983333333333334,0.4789999999999999,1.0,0.512,1.0,0.51,1.0,0.476,0.9983333333333334,0.49700000000000005,0.9983333333333334,0.532,1.0,0.502,1.0,0.47000000000000003,1.0,0.497,1.0,0.515
0.9983333333333334,0.476,1.0,0.512,1.0,0.512,1.0,0.475,0.9983333333333334,0.497,0.9983333333333334,0.53,1.0,0.5029999999999999,1.0,0.47000000000000003,1.0,0.497,1.0,0.515
0.9983333333333334,0.476,1.0,0.509,1.0,0.512,1.0,0.47800000000000004,0.9983333333333334,0.49800000000000005,0.9983333333333334,0.5269999999999999,1.0,0.5050000000000001,1.0,0.47000000000000003,1.0,0.49499999999999994,1.0,0.516
0.9983333333333334,0.475,1.0,0.508,1.0,0.51,1.0,0.47800000000000004,0.9983333333333334,0.49799999999999994,1.0,0.525,1.0,0.5050000000000001,1.0,0.47000000000000003,1.0,0.4959999999999999,1.0,0.515
0.9983333333333334,0.475,1.0,0.508,1.0,0.509,1.0,0.477,0.9983333333333334,0.49799999999999994,1.0,0.526,1.0,0.507,1.0,0.46900000000000003,1.0,0.49700000000000005,1.0,0.514
0.9983333333333334,0.475,1.0,0.507,1.0,0.5069999999999999,1.0,0.476,0.9983333333333334,0.497,1.0,0.528,1.0,0.508,1.0,0.47000000000000003,1.0,0.49399999999999994,1.0,0.514
0.9983333333333334,0.475,1.0,0.5090000000000001,1.0,0.504,1.0,0.476,0.9983333333333334,0.497,1.0,0.528,1.0,0.51,1.0,0.47400000000000003,1.0,0.49399999999999994,1.0,0.513
0.9983333333333334,0.47300000000000003,1.0,0.513,1.0,0.502,1.0,0.476,0.9983333333333334,0.49800000000000005,1.0,0.525,1.0,0.51,1.0,0.47300000000000003,1.0,0.493,1.0,0.513
0.9983333333333334,0.4720000000000001,1.0,0.511,1.0,0.503,1.0,0.47800000000000004,0.9983333333333334,0.499,1.0,0.526,1.0,0.507,1.0,0.473,1.0,0.49399999999999994,1.0,0.514
0.9983333333333334,0.4720000000000001,1.0,0.511,1.0,0.507,1.0,0.479,0.9983333333333334,0.5,1.0,0.526,1.0,0.507,1.0,0.47300000000000003,1.0,0.49399999999999994,1.0,0.51
0.9983333333333334,0.4720000000000001,1.0,0.51,1.0,0.505,1.0,0.48,0.9983333333333334,0.499,1.0,0.524,1.0,0.509,0.9983333333333334,0.475,1.0,0.49400000000000005,1.0,0.51
0.9983333333333334,0.4710000000000001,1.0,0.51,1.0,0.504,1.0,0.47800000000000004,0.9983333333333334,0.49800000000000005,1.0,0.526,1.0,0.5050000000000001,0.9983333333333334,0.477,1.0,0.496,1.0,0.508
0.9983333333333334,0.4710000000000001,1.0,0.51,1.0,0.501,1.0,0.481,0.9983333333333334,0.49800000000000005,1.0,0.525,1.0,0.5040000000000001,0.9983333333333334,0.476,1.0,0.49799999999999994,1.0,0.509
0.9983333333333334,0.47000000000000003,1.0,0.5130000000000001,1.0,0.503,1.0,0.48100000000000004,0.9983333333333334,0.499,1.0,0.524,1.0,0.5050000000000001,0.9983333333333334,0.476,1.0,0.5,1.0,0.509
0.9983333333333334,0.47300000000000003,1.0,0.5120000000000001,1.0,0.502,1.0,0.483,0.9983333333333334,0.499,1.0,0.524,1.0,0.506,0.9983333333333334,0.476,1.0,0.49799999999999994,1.0,0.51
0.9983333333333334,0.47300000000000003,1.0,0.51,1.0,0.501,1.0,0.48100000000000004,0.9983333333333334,0.495,1.0,0.523,1.0,0.511,0.9983333333333334,0.47400000000000003,1.0,0.49899999999999994,1.0,0.51
0.9983333333333334,0.47400000000000003,1.0,0.5120000000000001,1.0,0.5,1.0,0.48,0.9983333333333334,0.495,1.0,0.523,1.0,0.511,0.9983333333333334,0.476,1.0,0.499,1.0,0.509
0.9983333333333334,0.475,1.0,0.5109999999999999,1.0,0.5,1.0,0.48,0.9983333333333334,0.496,1.0,0.524,1.0,0.511,0.9983333333333334,0.4789999999999999,1.0,0.501,1.0,0.508
0.9983333333333334,0.477,1.0,0.5109999999999999,1.0,0.499,1.0,0.48100000000000004,0.9983333333333334,0.49700000000000005,1.0,0.524,1.0,0.511,0.9983333333333334,0.479,1.0,0.502,1.0,0.509
0.9983333333333334,0.477,1.0,0.512,1.0,0.499,1.0,0.48100000000000004,0.9983333333333334,0.495,1.0,0.5210000000000001,1.0,0.51,0.9983333333333334,0.48199999999999993,1.0,0.5,1.0,0.5090000000000001
0.9983333333333334,0.476,1.0,0.511,1.0,0.49799999999999994,1.0,0.479,0.9983333333333334,0.496,1.0,0.521,1.0,0.509,0.9983333333333334,0.483,1.0,0.499,1.0,0.51
0.9983333333333334,0.47400000000000003,1.0,0.513,1.0,0.499,1.0,0.4800000000000001,0.9983333333333334,0.496,1.0,0.5229999999999999,1.0,0.509,0.9983333333333334,0.483,1.0,0.5,1.0,0.508
0.9983333333333334,0.475,1.0,0.514,1.0,0.499,1.0,0.4800000000000001,0.9983333333333334,0.496,1.0,0.5229999999999999,1.0,0.514,0.9983333333333334,0.48199999999999993,1.0,0.5,1.0,0.508
0.9983333333333334,0.475,1.0,0.514,1.0,0.499,1.0,0.481,0.9983333333333334,0.497,1.0,0.5239999999999999,1.0,0.512,0.9983333333333334,0.48100000000000004,1.0,0.502,1.0,0.507
0.9983333333333334,0.475,1.0,0.5130000000000001,1.0,0.501,1.0,0.48200000000000004,0.9983333333333334,0.49799999999999994,1.0,0.5229999999999999,1.0,0.512,0.9983333333333334,0.48100000000000004,1.0,0.501,1.0,0.509
0.9983333333333334,0.473,1.0,0.5130000000000001,1.0,0.501,1.0,0.48200000000000004,0.9983333333333334,0.49899999999999994,1.0,0.524,1.0,0.513,0.9983333333333334,0.48200000000000004,1.0,0.5029999999999999,1.0,0.508
0.9983333333333334,0.473,1.0,0.511,1.0,0.501,1.0,0.483,0.9983333333333334,0.499,1.0,0.526,1.0,0.513,0.9983333333333334,0.48200000000000004,1.0,0.502,1.0,0.5069999999999999
0.9983333333333334,0.47300000000000003,1.0,0.511,1.0,0.5,1.0,0.48100000000000004,0.9983333333333334,0.499,1.0,0.528,1.0,0.511,0.9983333333333334,0.483,1.0,0.506,1.0,0.508
0.9983333333333334,0.47400000000000003,1.0,0.51,1.0,0.5,1.0,0.48100000000000004,0.9983333333333334,0.49799999999999994,1.0,0.53,1.0,0.513,0.9983333333333334,0.481,1.0,0.505,1.0,0.51
0.9983333333333334,0.47400000000000003,1.0,0.509,1.0,0.5,1.0,0.483,0.9983333333333334,0.499,1.0,0.528,1.0,0.514,0.9983333333333334,0.48200000000000004,1.0,0.506,1.0,0.5120000000000001
0.9983333333333334,0.47400000000000003,1.0,0.51,1.0,0.5,1.0,0.485,0.9983333333333334,0.5,1.0,0.529,1.0,0.512,0.9983333333333334,0.48200000000000004,1.0,0.506,1.0,0.5109999999999999
0.9983333333333334,0.4779999999999999,1.0,0.509,1.0,0.499,1.0,0.484,0.9983333333333334,0.499,1.0,0.529,1.0,0.5109999999999999,0.9983333333333334,0.48199999999999993,1.0,0.5039999999999999,1.0,0.51
0.9983333333333334,0.479,1.0,0.507,1.0,0.49800000000000005,1.0,0.48200000000000004,0.9983333333333334,0.501,1.0,0.5269999999999999,1.0,0.5120000000000001,0.9983333333333334,0.484,1.0,0.502,1.0,0.508
0.9983333333333334,0.48,1.0,0.507,1.0,0.501,1.0,0.483,0.9983333333333334,0.502,1.0,0.53,1.0,0.51,0.9983333333333334,0.484,1.0,0.49899999999999994,1.0,0.508
0.9983333333333334,0.47800000000000004,1.0,0.507,1.0,0.502,1.0,0.483,0.9983333333333334,0.502,1.0,0.5309999999999999,1.0,0.509,0.9983333333333334,0.483,1.0,0.501,1.0,0.508
0.9983333333333334,0.47700000000000004,1.0,0.508,1.0,0.502,1.0,0.483,0.9983333333333334,0.502,1.0,0.532,1.0,0.507,0.9983333333333334,0.483,1.0,0.5010000000000001,1.0,0.506
0.9983333333333334,0.476,1.0,0.508,1.0,0.501,1.0,0.48200000000000004,0.9983333333333334,0.503,1.0,0.531,1.0,0.507,0.9983333333333334,0.484,1.0,0.501,1.0,0.508
0.9983333333333334,0.47700000000000004,1.0,0.508,1.0,0.502,1.0,0.48200000000000004,0.9983333333333334,0.501,1.0,0.531,1.0,0.507,0.9983333333333334,0.483,1.0,0.501,1.0,0.508
0.9983333333333334,0.47800000000000004,1.0,0.509,1.0,0.503,1.0,0.48100000000000004,0.9983333333333334,0.5030000000000001,1.0,0.53,1.0,0.5050000000000001,0.9983333333333334,0.48200000000000004,1.0,0.502,1.0,0.507
0.9983333333333334,0.479,1.0,0.508,1.0,0.5040000000000001,1.0,0.479,0.9983333333333334,0.5030000000000001,1.0,0.53,1.0,0.506,0.9983333333333334,0.48200000000000004,1.0,0.502,1.0,0.507
0.9983333333333334,0.481,1.0,0.507,1.0,0.5040000000000001,1.0,0.47700000000000004,0.9983333333333334,0.502,1.0,0.53,1.0,0.506,0.9983333333333334,0.483,1.0,0.502,1.0,0.506
0.9983333333333334,0.481,1.0,0.509,1.0,0.5040000000000001,1.0,0.476,0.9983333333333334,0.501,1.0,0.53,1.0,0.507,0.9983333333333334,0.484,1.0,0.502,1.0,0.507
0.9983333333333334,0.484,1.0,0.51,1.0,0.5040000000000001,1.0,0.4779999999999999,0.9983333333333334,0.5,1.0,0.5299999999999999,1.0,0.506,0.9983333333333334,0.485,1.0,0.5029999999999999,1.0,0.508
0.9983333333333334,0.484,1.0,0.5109999999999999,1.0,0.502,1.0,0.477,0.9983333333333334,0.502,1.0,0.5299999999999999,1.0,0.504,0.9983333333333334,0.484,1.0,0.502,1.0,0.509
0.9983333333333334,0.48200000000000004,1.0,0.5109999999999999,1.0,0.5040000000000001,1.0,0.476,0.9983333333333334,0.502,1.0,0.5299999999999999,1.0,0.505,0.9983333333333334,0.483,1.0,0.5029999999999999,1.0,0.507
0.9983333333333334,0.48200000000000004,1.0,0.5119999999999999,1.0,0.502,1.0,0.476,0.9983333333333334,0.502,1.0,0.532,1.0,0.505,0.9983333333333334,0.483,1.0,0.503,1.0,0.505
0.9983333333333334,0.48100000000000004,1.0,0.5119999999999999,1.0,0.5029999999999999,1.0,0.47800000000000004,0.9983333333333334,0.5050000000000001,1.0,0.535,1.0,0.505,0.9983333333333334,0.483,1.0,0.504,1.0,0.506
0.9983333333333334,0.48500000000000004,1.0,0.5119999999999999,1.0,0.49800000000000005,1.0,0.476,0.9983333333333334,0.502,1.0,0.534,1.0,0.502,0.9983333333333334,0.483,1.0,0.506,1.0,0.504
0.9983333333333334,0.48600000000000004,1.0,0.509,1.0,0.49700000000000005,1.0,0.476,0.9983333333333334,0.499,1.0,0.534,1.0,0.502,0.9983333333333334,0.48100000000000004,1.0,0.506,1.0,0.503
0.9983333333333334,0.484,1.0,0.509,1.0,0.49800000000000005,1.0,0.476,0.9983333333333334,0.501,1.0,0.533,1.0,0.502,0.9983333333333334,0.48100000000000004,1.0,0.508,1.0,0.502
0.9983333333333334,0.484,1.0,0.507,1.0,0.49800000000000005,1.0,0.477,0.9983333333333334,0.501,1.0,0.534,1.0,0.49800000000000005,0.9983333333333334,0.481,1.0,0.508,1.0,0.503
0.9983333333333334,0.48200000000000004,1.0,0.507,1.0,0.49700000000000005,1.0,0.477,0.9983333333333334,0.5,1.0,0.536,1.0,0.49700000000000005,0.9983333333333334,0.481,1.0,0.509,1.0,0.502
0.9983333333333334,0.48,1.0,0.507,1.0,0.49800000000000005,1.0,0.47800000000000004,0.9966666666666667,0.497,1.0,0.537,1.0,0.4960000000000001,0.9983333333333334,0.48,1.0,0.5090000000000001,1.0,0.504
0.9983333333333334,0.48,1.0,0.507,1.0,0.49800000000000005,1.0,0.476,0.9966666666666667,0.495,1.0,0.538,1.0,0.49400000000000005,0.9983333333333334,0.479,1.0,0.508,1.0,0.503
0.9983333333333334,0.48100000000000004,1.0,0.506,1.0,0.497,1.0,0.47400000000000003,0.9966666666666667,0.496,1.0,0.537,1.0,0.495,0.9983333333333334,0.48,1.0,0.508,1.0,0.503
0.9983333333333334,0.48200000000000004,1.0,0.506,1.0,0.49899999999999994,1.0,0.476,0.9966666666666667,0.496,1.0,0.5359999999999999,1.0,0.49399999999999994,0.9983333333333334,0.4800000000000001,1.0,0.508,1.0,0.5
0.9983333333333334,0.483,1.0,0.5050000000000001,1.0,0.499,1.0,0.476,0.9966666666666667,0.49800000000000005,1.0,0.5359999999999999,1.0,0.493,0.9983333333333334,0.48,1.0,0.508,1.0,0.5
0.9983333333333334,0.48200000000000004,1.0,0.506,1.0,0.5,1.0,0.47400000000000003,0.9966666666666667,0.496,1.0,0.538,1.0,0.493,0.9983333333333334,0.481,1.0,0.507,1.0,0.499
0.9983333333333334,0.48200000000000004,1.0,0.502,1.0,0.5,1.0,0.477,0.9966666666666667,0.496,1.0,0.539,1.0,0.492,0.9983333333333334,0.484,1.0,0.507,1.0,0.5
0.9983333333333334,0.484,1.0,0.503,1.0,0.5,1.0,0.47800000000000004,0.9966666666666667,0.497,1.0,0.539,1.0,0.491,0.9983333333333334,0.48100000000000004,1.0,0.509,1.0,0.5
0.9983333333333334,0.48200000000000004,1.0,0.502,1.0,0.49800000000000005,1.0,0.47700000000000004,0.9966666666666667,0.49799999999999994,1.0,0.541,1.0,0.492,0.9983333333333334,0.48100000000000004,1.0,0.507,1.0,0.499
0.9983333333333334,0.483,1.0,0.5040000000000001,1.0,0.49700000000000005,1.0,0.479,0.9966666666666667,0.496,1.0,0.542,1.0,0.49399999999999994,0.9983333333333334,0.48100000000000004,1.0,0.507,1.0,0.49800000000000005
0.9983333333333334,0.48500000000000004,1.0,0.5050000000000001,1.0,0.495,1.0,0.476,0.9966666666666667,0.493,1.0,0.542,1.0,0.49400000000000005,0.9983333333333334,0.48100000000000004,1.0,0.508,1.0,0.497
0.9983333333333334,0.48500000000000004,1.0,0.5050000000000001,1.0,0.495,1.0,0.4760000000000001,0.9966666666666667,0.49300000000000005,1.0,0.541,1.0,0.49400000000000005,0.9983333333333334,0.48200000000000004,1.0,0.508,1.0,0.49800000000000005
0.9983333333333334,0.484,1.0,0.5030000000000001,1.0,0.496,1.0,0.47800000000000004,0.9966666666666667,0.495,1.0,0.542,1.0,0.49800000000000005,0.9983333333333334,0.48200000000000004,1.0,0.508,1.0,0.497
0.9983333333333334,0.484,1.0,0.5029999999999999,1.0,0.49800000000000005,1.0,0.479,0.9966666666666667,0.495,1.0,0.542,1.0,0.49800000000000005,0.9983333333333334,0.4800000000000001,1.0,0.51,1.0,0.499
0.9983333333333334,0.484,1.0,0.5040000000000001,1.0,0.49800000000000005,1.0,0.47800000000000004,0.9966666666666667,0.49799999999999994,1.0,0.542,1.0,0.49800000000000005,0.9983333333333334,0.48100000000000004,1.0,0.51,1.0,0.499
0.9983333333333334,0.484,1.0,0.503,1.0,0.49499999999999994,1.0,0.47800000000000004,0.9966666666666667,0.5010000000000001,1.0,0.54,1.0,0.499,0.9983333333333334,0.48200000000000004,1.0,0.509,1.0,0.49700000000000005
0.9983333333333334,0.485,1.0,0.503,1.0,0.49499999999999994,1.0,0.47800000000000004,0.9966666666666667,0.5,1.0,0.541,1.0,0.5,0.9983333333333334,0.48100000000000004,1.0,0.5079999999999999,1.0,0.4960000000000001
0.9983333333333334,0.484,1.0,0.502,1.0,0.496,1.0,0.47800000000000004,0.9966666666666667,0.49800000000000005,1.0,0.54,1.0,0.49799999999999994,0.9983333333333334,0.4789999999999999,1.0,0.5069999999999999,1.0,0.496
0.9983333333333334,0.484,1.0,0.502,1.0,0.49700000000000005,1.0,0.4800000000000001,0.9966666666666667,0.49799999999999994,1.0,0.54,1.0,0.49799999999999994,0.9983333333333334,0.479,1.0,0.508,1.0,0.4960000000000001
0.9983333333333334,0.48600000000000004,1.0,0.501,1.0,0.4960000000000001,1.0,0.4779999999999999,0.9966666666666667,0.497,1.0,0.54,1.0,0.499,0.9983333333333334,0.4779999999999999,1.0,0.508,1.0,0.49700000000000005
0.9983333333333334,0.48600000000000004,1.0,0.5,1.0,0.4960000000000001,1.0,0.47800000000000004,0.9966666666666667,0.5,1.0,0.539,1.0,0.49800000000000005,0.9983333333333334,0.4779999999999999,1.0,0.506,1.0,0.499
0.9983333333333334,0.485,1.0,0.49800000000000005,1.0,0.499,1.0,0.479,0.9966666666666667,0.499,1.0,0.539,1.0,0.496,0.9983333333333334,0.4779999999999999,1.0,0.5069999999999999,1.0,0.499
0.9983333333333334,0.485,1.0,0.49799999999999994,1.0,0.49800000000000005,1.0,0.47800000000000004,0.9966666666666667,0.49800000000000005,1.0,0.539,1.0,0.49700000000000005,0.9983333333333334,0.477,1.0,0.506,1.0,0.49800000000000005
0.9983333333333334,0.485,1.0,0.499,1.0,0.499,1.0,0.475,0.9966666666666667,0.499,1.0,0.539,1.0,0.49700000000000005,0.9983333333333334,0.477,1.0,0.508,1.0,0.499
0.9983333333333334,0.485,1.0,0.5,1.0,0.499,1.0,0.47400000000000003,0.9966666666666667,0.5,1.0,0.539,1.0,0.495,0.9983333333333334,0.477,1.0,0.51,1.0,0.499
0.9983333333333334,0.485,1.0,0.502,1.0,0.5,1.0,0.475,0.9966666666666667,0.5,1.0,0.538,1.0,0.496,0.9983333333333334,0.4779999999999999,1.0,0.508,1.0,0.5
0.9983333333333334,0.48599999999999993,1.0,0.502,1.0,0.5,1.0,0.47700000000000004,0.9966666666666667,0.5,1.0,0.539,1.0,0.496,0.9983333333333334,0.479,1.0,0.508,1.0,0.5
0.9983333333333334,0.4870000000000001,1.0,0.502,1.0,0.5,1.0,0.477,0.9983333333333334,0.5,1.0,0.539,1.0,0.495,0.9983333333333334,0.4779999999999999,1.0,0.51,1.0,0.5
0.9983333333333334,0.48900000000000005,1.0,0.501,1.0,0.502,1.0,0.47700000000000004,0.9983333333333334,0.502,1.0,0.539,1.0,0.495,0.9983333333333334,0.4790000000000001,1.0,0.508,1.0,0.5029999999999999
0.9983333333333334,0.48900000000000005,1.0,0.501,1.0,0.501,1.0,0.4760000000000001,0.9983333333333334,0.503,1.0,0.539,1.0,0.49400000000000005,0.9983333333333334,0.4790000000000001,1.0,0.508,1.0,0.501
0.9983333333333334,0.48900000000000005,1.0,0.502,1.0,0.502,1.0,0.475,0.9983333333333334,0.502,1.0,0.539,1.0,0.49800000000000005,0.9983333333333334,0.4790000000000001,1.0,0.507,1.0,0.501
0.9983333333333334,0.49000000000000005,1.0,0.5,1.0,0.5,1.0,0.47300000000000003,0.9983333333333334,0.5030000000000001,1.0,0.539,1.0,0.5,0.9983333333333334,0.479,1.0,0.507,1.0,0.5
0.9983333333333334,0.48900000000000005,1.0,0.49799999999999994,1.0,0.502,1.0,0.4720000000000001,0.9983333333333334,0.5050000000000001,1.0,0.54,1.0,0.5,0.9983333333333334,0.476,1.0,0.506,1.0,0.499
0.9983333333333334,0.48900000000000005,1.0,0.49799999999999994,1.0,0.499,1.0,0.47300000000000003,0.9983333333333334,0.506,1.0,0.542,1.0,0.499,0.9983333333333334,0.476,1.0,0.506,1.0,0.5
0.9983333333333334,0.487,1.0,0.496,1.0,0.499,1.0,0.47400000000000003,0.9983333333333334,0.506,1.0,0.541,1.0,0.495,0.9983333333333334,0.476,1.0,0.507,1.0,0.5
0.9983333333333334,0.489,1.0,0.49799999999999994,0.9983333333333334,0.499,1.0,0.47400000000000003,0.9983333333333334,0.506,1.0,0.541,1.0,0.495,0.9983333333333334,0.476,1.0,0.507,1.0,0.5
0.9983333333333334,0.49000000000000005,1.0,0.49799999999999994,0.9983333333333334,0.49799999999999994,1.0,0.475,0.9983333333333334,0.506,1.0,0.541,1.0,0.495,0.9983333333333334,0.477,1.0,0.507,1.0,0.5
0.9983333333333334,0.49000000000000005,1.0,0.49799999999999994,0.9983333333333334,0.49899999999999994,1.0,0.477,0.9983333333333334,0.507,1.0,0.541,1.0,0.49800000000000005,0.9983333333333334,0.47800000000000004,1.0,0.507,1.0,0.499
0.9983333333333334,0.48900000000000005,1.0,0.5,0.9983333333333334,0.4999999999999999,1.0,0.479,0.9983333333333334,0.507,1.0,0.5389999999999999,1.0,0.49800000000000005,0.9983333333333334,0.479,1.0,0.508,1.0,0.499
0.9983333333333334,0.488,1.0,0.5,0.9983333333333334,0.501,1.0,0.47800000000000004,0.9983333333333334,0.5069999999999999,1.0,0.541,1.0,0.49700000000000005,0.9983333333333334,0.48200000000000004,1.0,0.508,1.0,0.499
